id,insee_code,town_name,zip_code,routing_label,line_5,geopoint
27318,08437,TAILLY,08240,TAILLY,ANDEVANNE,0101000020E610000016687748314414403A69D08632B54840
27319,08437,TAILLY,08240,TAILLY,BARRICOURT,0101000020E610000016687748314414403A69D08632B54840
27320,08437,TAILLY,08240,TAILLY,REMONVILLE,0101000020E610000016687748314414403A69D08632B54840
27321,08438,TAIZY,08360,TAIZY,NULL,0101000020E610000030A75F7D97051140F64F262488C14840
27322,08439,TANNAY,08390,TANNAY,NULL,0101000020E61000005A0CC3EC0A4E13409046AA9443C34840
27323,08440,TARZY,08380,TARZY,NULL,0101000020E6100000FCD86ECCFC30114008B5954DEFEF4840
27324,08444,TETAIGNE,08110,TETAIGNE,NULL,0101000020E6100000FB80F6D9B77514408ADF5EE344D34840
27325,08445,THELONNE,08350,THELONNE,NULL,0101000020E6100000660234000AC8134060843AF6FDD24840
27326,08446,THENORGUES,08240,THENORGUES,NULL,0101000020E6100000F89F466B56B313402A4822EAF4B34840
27327,08448,THILAY,08800,THILAY,NULL,0101000020E610000009201043063D134047CF882D98F34840
27328,08448,THILAY,08800,THILAY,NOHAN,0101000020E610000009201043063D134047CF882D98F34840
27329,08449,THIN LE MOUTIER,08460,THIN LE MOUTIER,NULL,0101000020E61000009793ABB3B50D1240DCE80885ADDB4840
27330,08450,THIS,08090,THIS,NULL,0101000020E6100000B6CCD88640701240B1998DDF25E04840
27331,08451,LE THOUR,08190,LE THOUR,NULL,0101000020E6100000BE9B1320AF5C1040A86384A6DBC54840
27332,08452,THUGNY TRUGNY,08300,THUGNY TRUGNY,NULL,0101000020E61000008AD9DCE22BB311404649A35DE0BC4840
27333,08453,TOGES,08400,TOGES,NULL,0101000020E6100000CC73E904D923134050502F9D7BB64840
27334,08454,TOULIGNY,08430,TOULIGNY,NULL,0101000020E61000005271D2EA9A7712408C2BD3D4D7D64840
27335,08455,TOURCELLES CHAUMONT,08400,TOURCELLES CHAUMONT,NULL,0101000020E61000000AA7BBA1DF651240BC3DAD4706B34840
27336,08456,TOURNAVAUX,08800,TOURNAVAUX,NULL,0101000020E6100000E29EF87B73211340ACEFB215EAEF4840
27337,08457,TOURNES,08090,TOURNES,NULL,0101000020E610000098785105ED8B12408757EDF549E64840
27338,08458,TOURTERON,08130,TOURTERON,NULL,0101000020E61000004CF443B63D8F124014F362177BC54840
27339,08459,TREMBLOIS LES CARIGNAN,08110,TREMBLOIS LES CARIGNAN,NULL,0101000020E61000003284AD23580E154024038AA251D54840
27340,08460,TREMBLOIS LES ROCROI,08150,TREMBLOIS LES ROCROI,NULL,0101000020E6100000F4CF1D0E5CFF1140E7F9788D02EC4840
27341,08461,VANDY,08400,VANDY,NULL,0101000020E6100000A241AFE4CFE01240E2D6EE68ADB84840
27342,08462,VAUX CHAMPAGNE,08130,VAUX CHAMPAGNE,NULL,0101000020E61000000856D5CBEF3412408242983677B94840
27343,08463,VAUX EN DIEULET,08240,VAUX EN DIEULET,NULL,0101000020E6100000F872FAD577F91340DFB18E997ABD4840
27344,08464,VAUX LES MOURON,08250,VAUX LES MOURON,NULL,0101000020E610000008BAAC78D9251340BE5B0F1519A64840
27345,08465,VAUX LES RUBIGNY,08220,VAUX LES RUBIGNY,NULL,0101000020E61000009C3D867DF1BB10402CB17CA713D84840
27346,08466,VAUX LES MOUZON,08210,VAUX LES MOUZON,NULL,0101000020E6100000EE57A604698F1440C44B265DE9CC4840
27347,08467,VAUX MONTREUIL,08270,VAUX MONTREUIL,NULL,0101000020E6100000CCD58F4DF23712404A7CEE04FBCA4840
27348,08468,VAUX VILLAINE,08150,VAUX VILLAINE,NULL,0101000020E61000004611AD7026E511400C480C4C38E24840
27349,08469,VENDRESSE,08160,VENDRESSE,NULL,0101000020E61000006DBE5B6ACE2713404CE94FD1C7CD4840
27350,08469,VENDRESSE,08160,VENDRESSE,LA CASSINE,0101000020E61000006DBE5B6ACE2713404CE94FD1C7CD4840
27351,08470,VERPEL,08240,VERPEL,NULL,0101000020E6100000CE5147C7D5B41340C464051AC7B04840
